"","transaction_id","transaction_date","customer_type","product","category","quantity","amount","payment_method","city","sales_rep"
"1",2,"2022-02","Wholesale","keyboard","office",2,1424.54,"cheque","chicago","John"
"2",3,"2023-09","Retail","keyboard","office",3,1527.74,"cash","chicago","Sara"
"3",5,"2023-06","Online","keyboard","office",1,1527.74,"transfer","new york","Ali"
"4",6,"2022-10","Online","monitor","office",2,1527.74,"cheque","new york","Ali"
"5",7,"2024-03","Retail","monitor","electronics",2,1527.74,"transfer","new york","Fatima"
"6",8,"2022-10","Online","phone","office",2,1527.74,"cash","chicago","Fatima"
"7",9,"2023-12","Wholesale","keyboard","office",2,1527.74,"cheque","new york","Fatima"
"8",11,"2023-06","Online","mouse","electronics",2,1527.74,"cash","new york","John"
"9",12,"2023-05","Online","mouse","office",2,2236.39,"card","new york","Sara"
"10",13,"2022-08","Retail","laptop","office",2,381.39,"cheque","new york","Ali"
"11",14,"2023-06","Wholesale","phone","electronics",3,1527.74,"transfer","chicago","Fatima"
"12",15,"2024-03","Wholesale","monitor","electronics",2,1527.74,"card","washington","Fatima"
"13",16,"2023-08","Wholesale","keyboard","office",3,339.62,"transfer","new york","Fatima"
"14",17,"2023-02","Retail","phone","office",1,1527.74,"transfer","new york","Sara"
"15",18,"2024-03","Online","mouse","electronics",2,1527.74,"card","chicago","Ali"
"16",19,"2022-08","Wholesale","keyboard","electronics",1,1527.74,"card","washington","Sara"
"17",21,"2023-02","Retail","tablet","office",1,1527.74,"cheque","washington","John"
"18",22,"2023-08","Online","keyboard","electronics",1,1527.74,"card","new york","Sara"
"19",23,"2023-05","Wholesale","monitor","electronics",3,1957.81,"card","chicago","John"
"20",24,"2024-05","Retail","keyboard","office",2,2777.06,"card","new york","Sara"
"21",26,"2024-02","Wholesale","monitor","office",1,1527.74,"cheque","new york","John"
"22",27,"2024-05","Retail","mouse","office",3,1527.74,"cash","new york","John"
"23",28,"2023-05","Online","tablet","office",2,1527.74,"cheque","chicago","John"
"24",29,"2023-01","Wholesale","keyboard","office",3,1263.75,"transfer","new york","Sara"
"25",30,"2022-07","Online","monitor","electronics",2,883.98,"transfer","new york","Fatima"
"26",31,"2024-01","Wholesale","keyboard","electronics",2,1527.74,"cheque","chicago","Sara"
"27",37,"2022-06","Retail","tablet","electronics",1,1527.74,"card","new york","Sara"
"28",38,"2024-03","Online","monitor","office",2,2233.92,"transfer","new york","Ali"
"29",40,"2023-09","Wholesale","tablet","electronics",2,1527.74,"cheque","washington","Ali"
"30",41,"2023-04","Retail","keyboard","electronics",1,1527.74,"cash","new york","Sara"
"31",44,"2023-05","Wholesale","laptop","electronics",1,1527.74,"card","washington","Fatima"
"32",46,"2023-09","Online","phone","electronics",2,1527.74,"cash","washington","John"
"33",48,"2023-06","Retail","mouse","office",2,1527.74,"transfer","chicago","Ali"
"34",49,"2024-05","Online","phone","electronics",2,2490.54,"cash","chicago","Fatima"
"35",50,"2023-04","Retail","keyboard","electronics",1,1527.74,"cheque","new york","John"
"36",54,"2024-02","Wholesale","monitor","office",3,1527.74,"transfer","new york","Ali"
"37",57,"2023-01","Wholesale","tablet","electronics",2,1527.74,"transfer","chicago","Fatima"
"38",59,"2022-02","Retail","mouse","office",2,1527.74,"card","chicago","Sara"
