transaction_id,transaction_date,customer_type,product,category,quantity,amount,payment_method,city,sales_rep
1,2022-07-29,Wholesale,Tablet,Electronics,,,,new york,
2,02/06/2022,Wholesale,Keyboard,Office,,1424.54,,chicago,John
3,03-09-2023,Retail,Keyboard,Office,3.0, ,Cash,chicago,Sara
4,05/18/2023,Retail,Laptop,electronics,1.0, ,card,NY ,
5,06/30/2023,Online,Keyboard,Office,1.0,,Transfer,New York,Ali
6,2022-10-02,Online,Monitor,Office,,,,NY ,Ali
7,06-03-2024,Retail,Monitor,electronics,2.0, ,Transfer,New York,Fatima
8,2022-10-23,Online,Phone,Office,2.0,,Cash,chicago,Fatima
9,2023-12-08,Wholesale,Keyboard,office,2.0,,,New York,Fatima
10,,Retail,Laptop,electronics,1.0, ,,NY ,Sara
11,2023-06-26,Online,Mouse,Electronics,2.0, ,Cash,NY ,John
12,2023-05-07,Online,Mouse,office,,2236.39,Card,new york,Sara
13,09-08-2022,Retail,Laptop,Office,,381.39,,NY ,Ali
14,06/06/2023,Wholesale,Phone, ELECTRONICS ,3.0,,Transfer,Chicago,Fatima
15,2024-03-01,Wholesale,Monitor, ELECTRONICS ,2.0,,card,,Fatima
16,08/18/2023,Wholesale,Keyboard,Office,3.0,339.62,Transfer,NY ,Fatima
17,08-02-2023,Retail,Phone,office,1.0,,Transfer,NY ,Sara
18,2024-03-25,Online,Mouse, ELECTRONICS ,,,Card,Chicago,Ali
19,08/09/2022,Wholesale,Keyboard,Electronics,1.0, ,card,,Sara
20,2024-05-14,Online,Tablet,office,,,Card,NY ,
21,10-02-2023,Retail,Tablet,office,1.0,,,,John
22,09-08-2023,Online,Keyboard, ELECTRONICS ,1.0,,card,new york,Sara
23,05/15/2023,Wholesale,Monitor,Electronics,3.0,1957.81,card,Chicago,John
24,2024-05-21,Retail,Keyboard,Office,,2777.06,Card,new york,Sara
25,,Retail,Keyboard,electronics,2.0,1137.94,Transfer,NY ,Fatima
26,2024-02-27,Wholesale,Monitor,Office,1.0, ,,New York,John
27,05/08/2024,Retail,Mouse,Office,3.0, ,Cash,NY ,John
28,22-05-2023,Online,Tablet,Office,, ,,Chicago,John
29,2023-01-08,Wholesale,Keyboard,Office,3.0,1263.75,Transfer,new york,Sara
30,03-07-2022,Online,Monitor,Electronics,,883.98,Transfer,NY ,Fatima
31,01/30/2024,Wholesale,Keyboard, ELECTRONICS ,,,,Chicago,Sara
32,2023-02-24,Wholesale,Laptop,Electronics,1.0, ,,chicago,
33,03-12-2022,Wholesale,Monitor, ELECTRONICS ,2.0, ,,new york,
34,,Online,Monitor,Office,3.0,,Card,,
35,,Online,Tablet,Office,3.0, ,Card,NY ,John
36,,Online,Laptop,office,2.0,2951.08,,NY ,Sara
37,2022-06-29,Retail,Tablet, ELECTRONICS ,1.0,,Card,NY ,Sara
38,03-03-2024,Online,Monitor,office,2.0,2233.92,Transfer,New York,Ali
39,,Retail,Mouse,electronics,2.0, ,Card,chicago,Ali
40,09/02/2023,Wholesale,Tablet,Electronics,, ,,,Ali
41,04/21/2023,Retail,Keyboard,Electronics,1.0,,Cash,New York,Sara
42,06/24/2023,Retail,Phone,office,1.0,1803.98,card,NY ,
43,12/19/2023,Online,Phone,Electronics,1.0, ,,Chicago,
44,05/18/2023,Wholesale,Laptop, ELECTRONICS ,1.0,,Card,,Fatima
