"transaction_id","transaction_date","customer_type","product","category","quantity","amount","payment_method","city","sales_rep"
2,2022-02-06,"Wholesale","keyboard","office",2,1424.54,"cheque","chicago","John"
3,2023-09-03,"Retail","keyboard","office",3,1527.74,"cash","chicago","Sara"
5,2023-06-30,"Online","keyboard","office",1,1527.74,"transfer","new york","Ali"
6,2022-10-02,"Online","monitor","office",2,1527.74,"cheque","new york","Ali"
7,2024-03-06,"Retail","monitor","electronics",2,1527.74,"transfer","new york","Fatima"
8,2022-10-23,"Online","phone","office",2,1527.74,"cash","chicago","Fatima"
9,2023-12-08,"Wholesale","keyboard","office",2,1527.74,"cheque","new york","Fatima"
11,2023-06-26,"Online","mouse","electronics",2,1527.74,"cash","new york","John"
12,2023-05-07,"Online","mouse","office",2,2236.39,"card","new york","Sara"
13,2022-08-09,"Retail","laptop","office",2,381.39,"cheque","new york","Ali"
14,2023-06-06,"Wholesale","phone","electronics",3,1527.74,"transfer","chicago","Fatima"
15,2024-03-01,"Wholesale","monitor","electronics",2,1527.74,"card","washington","Fatima"
16,2023-08-18,"Wholesale","keyboard","office",3,339.62,"transfer","new york","Fatima"
17,2023-02-08,"Retail","phone","office",1,1527.74,"transfer","new york","Sara"
18,2024-03-25,"Online","mouse","electronics",2,1527.74,"card","chicago","Ali"
19,2022-08-09,"Wholesale","keyboard","electronics",1,1527.74,"card","washington","Sara"
21,2023-02-10,"Retail","tablet","office",1,1527.74,"cheque","washington","John"
22,2023-08-09,"Online","keyboard","electronics",1,1527.74,"card","new york","Sara"
23,2023-05-15,"Wholesale","monitor","electronics",3,1957.81,"card","chicago","John"
24,2024-05-21,"Retail","keyboard","office",2,2777.06,"card","new york","Sara"
26,2024-02-27,"Wholesale","monitor","office",1,1527.74,"cheque","new york","John"
27,2024-05-08,"Retail","mouse","office",3,1527.74,"cash","new york","John"
28,2023-05-22,"Online","tablet","office",2,1527.74,"cheque","chicago","John"
29,2023-01-08,"Wholesale","keyboard","office",3,1263.75,"transfer","new york","Sara"
